Program Version:,EnergyPlus, Version 8.4.0-09f5359d8a, YMD=2020.04.15 16:06
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,ARCHSIM ** Cornell Univ Teaching Dairy Barn NY USA ISD-TMYx WMO#=749003

----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 8.4.0-09f5359d8a, YMD=2020.04.15 16:06
,RunPeriod,ARCHSIM
,Weather File,Cornell Univ Teaching Dairy Barn NY USA ISD-TMYx WMO#=749003
,Latitude [deg],42.44
,Longitude [deg],-76.2
,Elevation [m],374.30
,Time Zone,-5.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],8760.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1383.20,207.20,484.40,207.20,484.40
,Above Ground Wall Area [m2],1383.20,207.20,484.40,207.20,484.40
,Window Opening Area [m2],300.64,20.72,118.23,44.65,117.04
,Gross Window-Wall Ratio [%],21.74,10.00,24.41,21.55,24.16
,Above Ground Window-Wall Ratio [%],21.74,10.00,24.41,21.55,24.16


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1383.20,207.20,484.40,207.20,484.40
,Above Ground Wall Area [m2],1383.20,207.20,484.40,207.20,484.40
,Window Opening Area [m2],300.64,20.72,118.23,44.65,117.04
,Gross Window-Wall Ratio [%],21.74,10.00,24.41,21.55,24.16
,Above Ground Window-Wall Ratio [%],21.74,10.00,24.41,21.55,24.16


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],512.08
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Gross Wall Area [m2],Window Glass Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,CONSTRUCTION0,512.08,Yes,Yes,2560.40,1.00,494.00,75.24,10.5500,50.00,7.6000
,CONSTRUCTION1,512.08,Yes,Yes,1536.24,1.00,296.40,75.24,10.5500,50.00,7.6000
,CONSTRUCTION2,512.08,Yes,Yes,1536.24,1.00,296.40,75.24,10.5500,50.00,7.6000
,CONSTRUCTION3,512.08,Yes,Yes,1536.24,1.00,296.40,74.92,10.5500,50.00,7.6000
,Total,2048.32,,,7169.12,,1383.20,300.64,10.5500,50.00,7.6000
,Conditioned Total,2048.32,,,7169.12,,1383.20,300.64,10.5500,50.00,7.6000
,Unconditioned Total,0.00,,,0.00,,0.00,0.00,,,
,Not Part of Total,0.00,,,0.00,,0.00,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,CONSTRUCTION0:F0,115MMSANDLIMEBRICK,0.30,2.649,4.389,74.00,180.00,90.00,S
,CONSTRUCTION0:F1,115MMSANDLIMEBRICK,0.30,2.649,4.389,173.00,90.00,90.00,E
,CONSTRUCTION0:F2,115MMSANDLIMEBRICK,0.30,2.649,4.389,74.00,0.00,90.00,N
,CONSTRUCTION0:F3,115MMSANDLIMEBRICK,0.30,2.649,4.389,173.00,270.00,90.00,W
,CONSTRUCTION0:F5,120MMINSULATION 200MMCONCRETE,0.30,0.265,0.276,512.08,90.00,0.00,
,CONSTRUCTION1:F0,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,180.00,90.00,S
,CONSTRUCTION1:F1,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,90.00,90.00,E
,CONSTRUCTION1:F2,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,0.00,90.00,N
,CONSTRUCTION1:F3,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,270.00,90.00,W
,CONSTRUCTION2:F0,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,180.00,90.00,S
,CONSTRUCTION2:F1,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,90.00,90.00,E
,CONSTRUCTION2:F2,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,0.00,90.00,N
,CONSTRUCTION2:F3,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,270.00,90.00,W
,CONSTRUCTION3:F0,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,180.00,90.00,S
,CONSTRUCTION3:F1,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,90.00,90.00,E
,CONSTRUCTION3:F2,115MMSANDLIMEBRICK,0.30,2.649,4.389,44.40,0.00,90.00,N
,CONSTRUCTION3:F3,115MMSANDLIMEBRICK,0.30,2.649,4.389,103.80,270.00,90.00,W
,CONSTRUCTION3:F4,200MMCONCRETE,0.30,3.425,10.000,512.08,180.00,180.00,


Exterior Fenestration

,,Construction,Glass Area [m2],Frame Area [m2],Divider Area [m2],Area of One Opening [m2],Area of Multiplied Openings [m2],Glass U-Factor [W/m2-K],Glass SHGC,Glass Visible Transmittance,Frame Conductance [W/m2-K],Divider Conductance [W/m2-K],Shade Control,Parent Surface,Azimuth [deg],Tilt [deg],Cardinal Direction
,CONSTRUCTION0:F3:W7,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W8,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W9,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W10,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W11,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W12,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION0:F3:W13,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION0:F3,270.00,90.00,W
,CONSTRUCTION1:F0:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F0,180.00,90.00,S
,CONSTRUCTION1:F0:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F0,180.00,90.00,S
,CONSTRUCTION1:F0:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F0,180.00,90.00,S
,CONSTRUCTION1:F0:W3,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F0,180.00,90.00,S
,CONSTRUCTION1:F0:W4,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F0,180.00,90.00,S
,CONSTRUCTION1:F1:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W3,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W4,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W5,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W6,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W7,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W8,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W9,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W10,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W11,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W12,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F1:W13,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F1,90.00,90.00,E
,CONSTRUCTION1:F2:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F2,0.00,90.00,N
,CONSTRUCTION1:F2:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F2,0.00,90.00,N
,CONSTRUCTION1:F2:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F2,0.00,90.00,N
,CONSTRUCTION1:F3:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W3,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W4,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W5,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W6,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W7,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W8,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W9,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W10,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W11,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W12,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION1:F3:W13,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION1:F3,270.00,90.00,W
,CONSTRUCTION2:F0:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F0,180.00,90.00,S
,CONSTRUCTION2:F0:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F0,180.00,90.00,S
,CONSTRUCTION2:F0:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F0,180.00,90.00,S
,CONSTRUCTION2:F0:W3,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F0,180.00,90.00,S
,CONSTRUCTION2:F0:W4,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F0,180.00,90.00,S
,CONSTRUCTION2:F1:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W1,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W2,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W3,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W4,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W5,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W6,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W7,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W8,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W9,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W10,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W11,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W12,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F1:W13,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F1,90.00,90.00,E
,CONSTRUCTION2:F2:W0,DOUBLEPANELOEE3,2.09,0.00,0.00,2.09,2.09,1.507,0.649,0.770,,,No,CONSTRUCTION2:F2,0.00,90.00,N
